At1,At2,Class
1.14,-114,BananaShape2
-1.52,-1.15,BananaShape1
-1.05,0.72,BananaShape2
-916,397,BananaShape1
-1.09,437,BananaShape1
-584,0.0937,BananaShape1
1.83,452,BananaShape2
-1.25,-286,BananaShape1
1.7,1.21,BananaShape1
-482,-485,BananaShape1
1.79,-459,BananaShape2
-122,-808,BananaShape2
0.0809,1.93,BananaShape1
-541,-332,BananaShape1
-1.02,619,BananaShape2
-768,-1.04,BananaShape2
-1.69,-0.0461,BananaShape1
1.26,1.21,BananaShape1
724,989,BananaShape2
444,1.99,BananaShape2
-1.01,-1.36,BananaShape2
-863,496,BananaShape1
1.16,-458,BananaShape1
-595,-651,BananaShape1
-0.77,364,BananaShape1
-871,-825,BananaShape1
996,-1.7,BananaShape1
1.28,691,BananaShape2
925,895,BananaShape2
-687,-1.29,BananaShape2
1.74,964,BananaShape1
1.18,-335,BananaShape1
2.52,1.43,BananaShape1
1.71,-44,BananaShape2
271,-591,BananaShape1
1.12,626,BananaShape2
1.3,196,BananaShape2
-1.59,-0.68,BananaShape1
408,0.0673,BananaShape1
1.13,1.48,BananaShape2
763,921,BananaShape2
-1.41,1.11,BananaShape2
-0.75,-881,BananaShape2
1.16,978,BananaShape2
1.13,405,BananaShape2
-522,-1.34,BananaShape2
-1.41,894,BananaShape2
0.00902,-434,BananaShape1
-2.14,-1.43,BananaShape1
-1.31,1.25,BananaShape2
41,-1.13,BananaShape2
0.0483,866,BananaShape2
-2.11,193,BananaShape2
522,1.46,BananaShape2
0.0284,1.62,BananaShape2
396,-606,BananaShape1
536,921,BananaShape2
315,-182,BananaShape1
-123,-1.07,BananaShape2
526,1.48,BananaShape2
0.00665,0.0118,BananaShape1
-352,-0.49,BananaShape1
-0.0701,-1.23,BananaShape2
-149,-1.2,BananaShape2
785,0.0481,BananaShape1
-1.62,593,BananaShape2
-0.0314,-1.01,BananaShape2
-285,-1.1,BananaShape2
1.33,1.51,BananaShape1
1.09,-1.37,BananaShape1
-223,-1.28,BananaShape2
-0.0341,-1.07,BananaShape2
1.22,1.13,BananaShape2
-1.67,-1.26,BananaShape1
1.97,-772,BananaShape2
-508,-715,BananaShape1
603,-108,BananaShape1
-323,-213,BananaShape1
-124,-1.12,BananaShape2
-439,-961,BananaShape2
201,0.0024,BananaShape1
812,708,BananaShape2
888,817,BananaShape2
0.0238,0.0836,BananaShape1
415,-1,BananaShape2
-308,2.19,BananaShape1
767,-248,BananaShape1
1.23,-1.2,BananaShape1
1.33,1.63,BananaShape1
0.27,0.0491,BananaShape1
-1.69,-1.87,BananaShape1
495,-281,BananaShape1
-519,-799,BananaShape2
-1.99,549,BananaShape2
1.36,-732,BananaShape1
-1.03,654,BananaShape2
431,-1.33,BananaShape2
-0.0583,-1.15,BananaShape2
-209,345,BananaShape1
1.26,-1.37,BananaShape1
-1.78,-378,BananaShape1
0.98,-0.0439,BananaShape1
-0.0536,1.6,BananaShape2
-1.39,-451,BananaShape1
1.22,-361,BananaShape1
1.22,561,BananaShape2
-838,356,BananaShape1
-446,-861,BananaShape2
1.17,-1.39,BananaShape1
-0.0868,-1.33,BananaShape2
-1.12,576,BananaShape2
