X,Y,Class,Success
0.775246,0.399273,BowlLarge,False
0.775876,0.398291,BowlLarge,False
0.776270,0.397177,BowlLarge,False
0.776381,0.395851,BowlLarge,False
0.776388,0.394558,BowlLarge,False
0.778308,0.391051,BowlLarge,False
0.779003,0.386720,BowlLarge,False
0.778043,0.335400,BowlLarge,True
0.777757,0.340519,BowlLarge,True
0.777113,0.345975,BowlLarge,True
0.822188,0.340212,BowlLarge,True
0.817165,0.345117,BowlLarge,True
0.812760,0.349260,BowlLarge,False
0.809277,0.353853,BowlLarge,False
0.809927,0.358611,BowlLarge,False
0.819167,0.343518,BowlLarge,False
0.820874,0.341899,BowlLarge,False
0.822144,0.341281,BowlLarge,False
0.824224,0.341499,BowlLarge,False
0.825831,0.340656,BowlLarge,True
0.826471,0.339609,BowlLarge,True
0.825361,0.340044,BowlLarge,True
0.823597,0.340683,BowlLarge,False
0.802644,0.330788,BowlLarge,False
0.798423,0.326518,BowlLarge,False
0.794561,0.322793,BowlLarge,False
0.790792,0.319519,BowlLarge,False
0.786380,0.316729,BowlLarge,False
0.963783,0.518948,JaNougatBits,True
0.963787,0.515756,JaNougatBits,True
0.964553,0.512217,JaNougatBits,True
0.965660,0.509859,JaNougatBits,True
0.966471,0.507226,JaNougatBits,True
0.970233,0.505251,JaNougatBits,True
0.944568,0.493316,JaNougatBits,True
0.945370,0.490716,JaNougatBits,False
0.945811,0.486847,JaNougatBits,False
0.945734,0.484464,JaNougatBits,False
0.947287,0.481234,JaNougatBits,False
0.951057,0.478740,JaNougatBits,False
0.954823,0.482897,JaNougatBits,False
0.947191,0.496029,JaNougatBits,False
0.948562,0.493549,JaNougatBits,False
0.949657,0.490994,JaNougatBits,False
0.950697,0.488559,JaNougatBits,False
0.952461,0.484620,JaNougatBits,False
0.954364,0.483105,JaNougatBits,True
0.959059,0.486487,JaNougatBits,True
0.961805,0.491965,JaNougatBits,True
0.960543,0.497849,JaNougatBits,True
0.956324,0.494945,JaNougatBits,True
0.978312,0.477553,JaNougatBits,True
0.979478,0.475786,JaNougatBits,False
0.981869,0.475977,JaNougatBits,False
0.984056,0.476346,JaNougatBits,True
0.984883,0.474945,JaNougatBits,True
0.984677,0.473434,JaNougatBits,True
0.983368,0.475860,JaNougatBits,True
0.986611,0.480627,JaNougatBits,True
0.990637,0.484145,JaNougatBits,True
0.970634,0.456053,JaNougatBits,True
0.971703,0.455761,JaNougatBits,True
0.972436,0.455544,JaNougatBits,False
0.972910,0.455070,JaNougatBits,False
0.973053,0.454233,JaNougatBits,False
0.972910,0.453068,JaNougatBits,True
0.972534,0.451663,JaNougatBits,False
0.971964,0.450171,JaNougatBits,False
0.971229,0.448992,JaNougatBits,False
0.970594,0.448753,JaNougatBits,False
0.968375,0.453361,JaNougatBits,False
0.962339,0.241549,BaerenMarkeFrischeAlpenmilch,False
0.957903,0.246974,BaerenMarkeFrischeAlpenmilch,True
0.955044,0.252676,BaerenMarkeFrischeAlpenmilch,False
0.952843,0.258763,BaerenMarkeFrischeAlpenmilch,False
0.952468,0.264042,BaerenMarkeFrischeAlpenmilch,True
0.957283,0.266926,BaerenMarkeFrischeAlpenmilch,True
0.962485,0.265353,BaerenMarkeFrischeAlpenmilch,True
0.960283,0.259516,BaerenMarkeFrischeAlpenmilch,True
0.958620,0.254170,BaerenMarkeFrischeAlpenmilch,True
0.958850,0.248580,BaerenMarkeFrischeAlpenmilch,True
0.959070,0.253726,BaerenMarkeFrischeAlpenmilch,True
0.992082,0.263726,BaerenMarkeFrischeAlpenmilch,True
0.994534,0.264573,BaerenMarkeFrischeAlpenmilch,True
0.996601,0.266315,BaerenMarkeFrischeAlpenmilch,False
0.999125,0.269049,BaerenMarkeFrischeAlpenmilch,False
0.998670,0.267048,BaerenMarkeFrischeAlpenmilch,False
0.997941,0.265795,BaerenMarkeFrischeAlpenmilch,False
0.997730,0.265333,BaerenMarkeFrischeAlpenmilch,False
0.997833,0.265066,BaerenMarkeFrischeAlpenmilch,False
1.002624,0.262654,BaerenMarkeFrischeAlpenmilch,False
1.008998,0.261304,BaerenMarkeFrischeAlpenmilch,False
1.013678,0.262948,BaerenMarkeFrischeAlpenmilch,False
1.008597,0.264248,BaerenMarkeFrischeAlpenmilch,True
1.017701,0.223654,BaerenMarkeFrischeAlpenmilch,False
1.017341,0.219827,BaerenMarkeFrischeAlpenmilch,False
1.017609,0.219613,BaerenMarkeFrischeAlpenmilch,False
1.019441,0.220085,BaerenMarkeFrischeAlpenmilch,False
1.022007,0.220003,BaerenMarkeFrischeAlpenmilch,False
1.023510,0.219897,BaerenMarkeFrischeAlpenmilch,False
1.024970,0.219737,BaerenMarkeFrischeAlpenmilch,False
1.025090,0.214553,BaerenMarkeFrischeAlpenmilch,False
1.028695,0.210840,BaerenMarkeFrischeAlpenmilch,False
1.023629,0.212845,BaerenMarkeFrischeAlpenmilch,False
1.018673,0.214928,BaerenMarkeFrischeAlpenmilch,False
1.013560,0.217037,BaerenMarkeFrischeAlpenmilch,False
0.984999,0.277847,BaerenMarkeFrischeAlpenmilch,True
0.989540,0.275983,BaerenMarkeFrischeAlpenmilch,True
0.992718,0.273939,BaerenMarkeFrischeAlpenmilch,True
0.993753,0.271108,BaerenMarkeFrischeAlpenmilch,True
0.994093,0.267917,BaerenMarkeFrischeAlpenmilch,True
0.994540,0.265183,BaerenMarkeFrischeAlpenmilch,True
0.995105,0.263428,BaerenMarkeFrischeAlpenmilch,True
0.995631,0.261673,BaerenMarkeFrischeAlpenmilch,True
